,R^2
0,0.7038969361120399
1,0.6724734593479734
2,0.7227057040007766
3,0.6417228104500533
4,0.7617624769935921
5,0.7359225103923434
6,0.7566840260767164
7,0.6668514453937605
8,0.6728781368624269
9,0.6875341772998919
10,0.7584453016794593
11,0.7044686435141868
12,0.7114341972955472
13,0.6285715266345612
14,0.7542616984456155
15,0.6878042343054219
16,0.6690652921171659
17,0.7691038437595729
18,0.7161133081074443
19,0.6605033847923659
20,0.7383231259635
21,0.6889778209169223
22,0.7214014579416225
23,0.7507654208429283
24,0.7153974450559765
25,0.6071519876226937
26,0.7040862923410195
27,0.7774082013562001
28,0.6992604523461324
29,0.657274019246128
