,R^2
0,0.018301652323855833
1,0.008340707473735942
2,0.018442555501456903
3,0.0166299616717297
4,0.022288636882088042
5,0.017495982180039227
6,0.01895763266653472
7,0.017370253646483702
8,0.024469119430556296
9,0.008994648655175519
10,0.009020188295348452
11,0.014351293094464479
12,0.01948756869678392
13,0.021202005761573717
14,0.019625513849056975
15,0.019542560950156607
16,0.014139627451535741
17,0.01652359009203519
18,0.01790659408179196
19,0.010029942934472236
20,0.018533571359859335
21,0.014526869129663278
22,0.027445506034947886
23,0.023335727495657266
24,0.012610119549838261
25,0.02207540275988984
26,0.01769632610800731
27,0.013145415076086908
28,0.015022488000718592
29,0.014746129491376658
