,R^2
0,0.004902675782607946
1,0.010306386387004096
2,0.006342532994899841
3,0.008612816283555147
4,0.017200792903740325
5,0.0031306821114371886
6,0.005462779327161105
7,0.005243434794236168
8,0.013223296628213754
9,0.010737848919296411
10,0.005678843224925956
11,0.004896232685813073
12,0.006996136184174606
13,0.01519138588340252
14,0.01031893361387659
15,0.009013525720222626
16,0.01335117899583027
17,0.005270634219627812
18,0.010892471684205818
19,0.007665855678418487
20,0.012066318304357004
21,0.012945825346401874
22,0.01431463630123675
23,0.008068013892135961
24,0.007671332500777894
25,0.006061417704357419
26,0.007291779161377798
27,0.0004097331480132915
28,0.01565821605811324
29,0.00773000280925662
