,R^2
0,0.0059091681458500744
1,0.005556085485020512
2,0.005457362395607013
3,0.0030570787390263865
4,0.006802017980978681
5,0.0007679450030784185
6,0.0056075726802271575
7,0.004115990802343927
8,0.009403681973533917
9,0.0037349209011316997
10,0.005621334285634383
11,0.009977034941032747
12,0.007056164190285763
13,0.007080760998920077
14,0.005905829061158219
15,0.003789886042375401
16,0.0030504425988948647
17,0.003351691112275068
18,0.003939701945634644
19,0.0034678445057918506
20,0.010856962757356703
21,0.005319555519315511
22,0.012998579333523885
23,0.009188545791653846
24,0.007183980124888745
25,0.007832112762707344
26,0.0066547175184508145
27,0.007131282928482419
28,0.004732972834466276
29,0.00851345160146666
