,R^2
0,-0.0001258905885683781
1,0.001708263407719235
2,0.00024438454424280387
3,0.0015651926563990948
4,0.0010905182329724594
5,0.00045868590386288766
6,0.0010610140580636918
7,0.0013180255012597009
8,2.5851419015454624e-06
9,0.0010048090969465573
10,0.0008295746711979302
11,0.001010371580802416
12,0.0013553385040355748
13,0.0010232702109747027
14,0.00033129915733121074
15,0.00019627646335684812
16,0.0009282669479755423
17,0.0014249304672462326
18,0.0008688293923470036
19,0.001532715902445081
20,0.0005986421752369742
21,0.0010600394177664452
22,0.0011442563681151041
23,6.253409080370087e-05
24,0.001392593641075135
25,0.0003326098786270437
26,0.000461243385899035
27,0.0007787939752461615
28,0.0013031293252677711
29,0.0001871605006875665
