,R^2
0,0.09006185635422326
1,0.10194727430525663
2,0.12831111860819688
3,0.10361753205879187
4,0.11828637712169987
5,0.11440215132029541
6,0.12284324567069183
7,0.11446797803812148
8,0.10512857404245246
9,0.1361971491234406
10,0.0861396904801085
11,0.07387021943599903
12,0.09258902942318403
13,0.10355228525722193
14,0.08566871994127678
15,0.11063701385818148
16,0.11724420496384114
17,0.1084062851823332
18,0.11148420226238998
19,0.10651635339878684
20,0.0945517333811442
21,0.10702249694863208
22,0.09752517944986983
23,0.13824193156333553
24,0.11640559865508815
25,0.10853917068238961
26,0.11384630145780128
27,0.10174349008606232
28,0.10292936637080574
29,0.13233492642649136
