,R^2
0,0.26219774794961526
1,0.2760594764186797
2,0.2923063131692598
3,0.28749624658443385
4,0.2732438287132736
5,0.3097754329127731
6,0.28538940949435154
7,0.2574322944231169
8,0.2635298988523739
9,0.2597053654870197
10,0.2586573115920989
11,0.2761439428343889
12,0.2390267004518727
13,0.286697797075547
14,0.2961462471238543
15,0.272662895096761
16,0.3076883053479593
17,0.2937764886563594
18,0.26748691633108246
19,0.2685740776421267
20,0.23240897462901167
21,0.28150867114023315
22,0.2649970654738395
23,0.24334632504598996
24,0.25825893963093616
25,0.2808832126156463
26,0.27308090319829104
27,0.2879958164036086
28,0.31522017595956686
29,0.2693207086008207
