,R^2
0,0.006719490802781336
1,0.006246189278552694
2,0.005513563765607854
3,0.0005853920538042567
4,0.007328255884189283
5,0.010727993136074532
6,0.009297224845883467
7,0.0034953527632365367
8,0.0016400534533705935
9,0.004039517981263896
10,0.010554447413281043
11,0.00880230702190321
12,0.002435762397975716
13,0.009400098400854096
14,-0.0007910473751081559
15,0.007480158495281719
16,0.006958574737692236
17,0.00498634934977038
18,0.0054578912616181086
19,0.009260385716886588
20,0.004848208241344021
21,0.0019770254916245955
22,0.0011306895883754775
23,0.004094546987172376
24,0.009468331280006015
25,0.002385176146886492
26,0.0027622879392169564
27,0.00737256789448959
28,0.006230890083906537
29,0.0037676753710880195
