,R^2
0,0.5751238168298503
1,0.6794385333506984
2,0.6232121543495744
3,0.6125232852245867
4,0.6700865120691822
5,0.6624348998275834
6,0.6747344891832384
7,0.6427132378710677
8,0.5927093622412218
9,0.6696021740566948
10,0.6780351381706547
11,0.7125949931034533
12,0.725043409004405
13,0.6659592620956453
14,0.6156900767077959
15,0.6791532875599359
16,0.6819787037778041
17,0.7391208032653726
18,0.7434382132833776
19,0.58244764755811
20,0.6738364462819498
21,0.6076125749859526
22,0.6689006001766412
23,0.5844009563415214
24,0.6278859890834304
25,0.6683727366521811
26,0.5890607088792819
27,0.5837079611402664
28,0.5957641592400853
29,0.6840864576400659
