,R^2
0,0.04979019300541254
1,0.045756076558624015
2,0.05096534302974853
3,0.053068773689798676
4,0.041898076059941114
5,0.039030301971784254
6,0.045039279605454174
7,0.034403126639398374
8,0.054361106967414474
9,0.048522948855949655
10,0.04263943045593843
11,0.031667599063985974
12,0.043711795280868215
13,0.04291299000420967
14,0.04122046085613085
15,0.04442730757770763
16,0.041842255006606544
17,0.04347168811473101
18,0.05251258462683939
19,0.03739181392843938
20,0.02631495514383786
21,0.03910529442509614
22,0.04586556389790197
23,0.05167662162817743
24,0.051310102433856586
25,0.052938656772790416
26,0.04646724278567105
27,0.0401268663271277
28,0.05524331420595652
29,0.04663598404757219
