,R^2
0,0.00022328274497274148
1,0.00019302851200808657
2,4.582359001026326e-06
3,0.00029307389636290537
4,0.00027635189281915995
5,0.0002888841394995678
6,0.0002418344517469695
7,0.0003144618120334286
8,0.0003561426915835719
9,0.00041260453582925294
10,0.0004944948937637417
11,0.00021464366113188582
12,9.155742683586432e-05
13,0.0004701488986121882
14,0.0001977805894780582
15,0.00023693586707684844
16,0.000234053724338934
17,0.00021152473346308653
18,0.0002039407439462515
19,0.0002578826651803423
20,0.0002417240500769413
21,0.00017274823784285687
22,0.00014643033456795962
23,0.0002359367543831592
24,0.00041840463233222547
25,0.00020894575789598413
26,0.00026531786105221666
27,0.0003686770067923284
28,0.00025946949649857665
29,0.00042823157584859217
