,R^2
0,0.0001645591862879936
1,0.000240045265455624
2,0.00023014331311954628
3,0.0002707291736909756
4,0.0001899452257327905
5,0.0003304778685311316
6,5.475276736011114e-05
7,0.00016706852882863998
8,8.613511940835927e-05
9,0.000254122391214473
10,9.635155728349165e-05
11,0.000242373144554775
12,0.00012974288340283913
13,0.00024285673834345545
14,0.00018190703486686832
15,0.0002520246958017669
16,-2.4246167436237087e-05
17,0.00015449812678114405
18,0.00016790040544278906
19,0.00039572405734555893
20,0.0002711996078090806
21,0.00025205136586048393
22,0.00021491758466407607
23,0.0002580161030583117
24,7.916401502494619e-05
25,0.0002327102549042337
26,0.000290998715438473
27,9.214920279521088e-05
28,0.00016341652845175414
29,0.0001701380856725665
