,R^2
0,0.017164839962035883
1,0.007676836442646495
2,0.013739055751271989
3,0.011710074017837302
4,0.011910360565729361
5,0.01120693304609377
6,0.015923105413615635
7,0.01412943337529493
8,0.013146444859194695
9,0.014547079502578608
10,0.015148762601655985
11,0.013078118012169182
12,0.011816325705883868
13,0.010617069944887092
14,0.011256123812254382
15,0.018867623115222942
16,0.012694135170163157
17,0.014676791583502102
18,0.012937138480330512
19,0.009676523589594144
20,0.011315936540570837
21,0.01038921812994742
22,0.01437827272139014
23,0.012251181030277225
24,0.010546579826387292
25,0.014378236844416525
26,0.014043438839488442
27,0.017929425510701424
28,0.008892263051885951
29,0.013520443880877253
