,R^2
0,0.29624693951258296
1,0.36882204602850344
2,0.2818339164216632
3,0.29534070039996274
4,0.33615153183166824
5,0.2755272342810572
6,0.32844189963331316
7,0.34900610678424837
8,0.3275560743522651
9,0.3261311570964477
10,0.27674905571545083
11,0.301344189499429
12,0.27876518429464714
13,0.32591209664599496
14,0.29010981209618647
15,0.30838960416325656
16,0.3330857736574032
17,0.31205282200906714
18,0.38951864692923766
19,0.3073152592775119
20,0.3428016315615894
21,0.31641891272103584
22,0.31207467639964526
23,0.3225833203468581
24,0.3046220346196049
25,0.34674378872212963
26,0.27551478848083966
27,0.31692001784639734
28,0.3170739691221022
29,0.288175720273227
