,R^2
0,0.4491085077984708
1,0.47801309182218266
2,0.5163213189009035
3,0.49413134632388755
4,0.5547816963374645
5,0.5700014477454982
6,0.4165405617202348
7,0.4452102451705602
8,0.5374047609746271
9,0.4718448274750139
10,0.5207032609514664
11,0.5550513984141914
12,0.5112376141219248
13,0.46250991660414853
14,0.5618503801254431
15,0.5111280864991697
16,0.44343691649739003
17,0.5298131340568661
18,0.43135630605329955
19,0.5284714472610772
20,0.4711560087117703
21,0.48007080598443186
22,0.507738420121356
23,0.5439977489842571
24,0.48233477240916445
25,0.4888345878246161
26,0.5166390935308833
27,0.5343633021904639
28,0.46975342252306673
29,0.542944618993104
