,R^2
0,0.004372255908311029
1,0.006224813148260178
2,0.005426738412635301
3,0.01787129670381027
4,0.003596953593757335
5,0.004127935485465639
6,0.0007322196085989274
7,0.0047755685486219335
8,0.009349043589210071
9,0.005464194526643262
10,0.015357472764362834
11,0.008959564576516588
12,0.009894693111178854
13,0.012819213776185667
14,0.019179404573788528
15,0.006520249307041981
16,0.010890900778845691
17,0.0077206933028513
18,0.005422885966437363
19,0.005501416989910579
20,0.00927645721316761
21,0.006922903780354761
22,0.012069609694467909
23,0.01220911906144806
24,0.005091503882194037
25,0.010568525833510423
26,0.011921976495081865
27,0.0025153317025148336
28,0.007889030286838183
29,0.0071577323813954985
