,R^2
0,0.10944494494854295
1,0.11366629885465973
2,0.10626917119211154
3,0.13091324939184323
4,0.11336013743146112
5,0.08940644842871692
6,0.16117863819567524
7,0.11982500159545839
8,0.1187710097946032
9,0.11295530927662856
10,0.11470788040975177
11,0.1166198362769355
12,0.12322498223835654
13,0.1135351693796034
14,0.1101176264609306
15,0.10123731327184893
16,0.0754642405563406
17,0.115716273703239
18,0.09299375795050069
19,0.1250622822487505
20,0.09466178536122927
21,0.12287341893063053
22,0.10175711699983747
23,0.10255034981181699
24,0.12116878643687679
25,0.1465980102704143
26,0.09304323950502269
27,0.1163231528436297
28,0.08788785029266755
29,0.1323120329673405
