,R^2
0,0.009169598852001748
1,0.011392961611438435
2,0.0036705047030893834
3,0.009226533434386064
4,0.01000328216131352
5,0.015796435493950378
6,0.011447123007634064
7,0.017165626611939655
8,0.011546693293446708
9,0.017779740055470228
10,0.010171836759752972
11,0.00742817555173958
12,0.012182973582865242
13,0.015396794168467065
14,0.0190173167644192
15,0.015319455681187089
16,0.013611033372156855
17,0.017832028773657083
18,0.009941179904872421
19,0.012111602545277655
20,0.010242557202741809
21,0.014898402765628482
22,0.006831651886102463
23,0.004613188078716357
24,0.014908724332629575
25,0.01859771808543209
26,0.007917414066198614
27,0.02442787475133701
28,0.0029903811827277638
29,0.016429762495875577
