,R^2
0,0.015375828052973106
1,0.013949826927379338
2,0.019850795991060766
3,0.020520855790355008
4,0.016351113020724894
5,0.02350262793768454
6,0.011653655738505853
7,0.009448449025938332
8,0.012690463799538976
9,0.013673166061589304
10,0.016699049240592956
11,0.019545696104274035
12,0.016728761716975904
13,0.014589004150056928
14,0.01726728741834571
15,0.029818903108959516
16,0.016879964955969218
17,0.009978887484267562
18,0.012466788369952075
19,-0.002806236929159267
20,0.023283227314073396
21,0.010255053002191095
22,0.013664743637103016
23,0.004156783875574499
24,0.003503209354042247
25,0.01845941524498851
26,0.014568181392469515
27,0.016043741621967644
28,0.022578248051137617
29,0.014673861644780017
