,R^2
0,0.004088068208360385
1,6.133503049432498e-05
2,0.006775493813621192
3,0.0037741622548111975
4,0.0036063884156380954
5,0.007009773121733787
6,-0.000544174227715799
7,0.00375006823896884
8,0.0038844419565059463
9,0.002206856602779972
10,0.007072364254390062
11,0.0012081812640729606
12,-0.000257773888343249
13,0.0032760117829016
14,0.004519860893225647
15,0.01079194167670161
16,0.00349692295797821
17,0.0017456607117807277
18,0.0009500023379561684
19,-0.0035700080098534093
20,0.0088226221728952
21,0.0021683107393186685
22,0.002951396487516633
23,-0.0026909299632033035
24,-0.0002722423840517685
25,0.008902460973189807
26,-0.00020510955806218867
27,0.0035550950904100764
28,0.008657501265588063
29,0.0042785906786521055
