,R^2
0,0.0033977629694639244
1,0.012680398618572841
2,0.0071521743895124335
3,0.005811507364119506
4,0.01063926209066246
5,0.014165703606054736
6,0.009301352570393107
7,0.005918416057337006
8,0.006498471542979667
9,0.00228977588180701
10,0.009185171860114583
11,0.010700563428955867
12,0.010284919101230194
13,0.011865541209426622
14,0.00401081895996791
15,0.010549127228518751
16,0.004446887818274736
17,0.008042603142291771
18,0.008086173896769022
19,0.013766153996602859
20,0.013001616719641618
21,0.007218744854832759
22,0.012436170021693393
23,0.01347800921437714
24,0.005939632192553446
25,0.007552556652193787
26,0.005812719048123638
27,0.014846176870083383
28,0.018019611880860542
29,0.006006095367787734
