,R^2
0,0.014246849108714321
1,0.00934316977231664
2,0.015143381115564347
3,0.013156053827595438
4,0.013914054464082448
5,0.017193842949517535
6,0.015860760918481098
7,0.014126611626634533
8,0.01571483154589859
9,0.016654484820621818
10,0.013894579199121848
11,0.009561482136006938
12,0.013249505911405612
13,0.010661289531730733
14,0.012818257410512346
15,0.006504263897517348
16,0.010257592231393331
17,0.01330284378069757
18,0.012778562859534603
19,0.010988752871099017
20,0.014052996572359477
21,0.014697641220669855
22,0.01063828441355208
23,0.01457594364693704
24,0.01315101506402605
25,0.010618568304889053
26,0.0203276931092351
27,0.00305876940165295
28,0.013407232504721867
29,0.010898010331433228
