,R^2
0,0.0045594699881355005
1,0.0017593886918191304
2,0.0008470704716172506
3,0.0034927169544495262
4,3.4461355631232315e-05
5,0.0029670631373426293
6,0.0024220520908173615
7,-0.001019314496302992
8,0.0005471038250262072
9,0.0016762609349597613
10,0.0035159158732380735
11,0.005894085134862004
12,0.002073042211676812
13,0.0013794480775171092
14,0.0033033170026484093
15,0.005980333402188842
16,-6.155375911898187e-05
17,0.0011938826635506938
18,0.0031178007738051905
19,0.001110272464767581
20,-0.0018724551614147655
21,-0.0040370167102485865
22,0.0006482598867983969
23,0.0018232854238733331
24,-0.0006528749770380315
25,0.0003922707171668538
26,0.008374915637320512
27,0.0003386944618687382
28,0.0005121648071034768
29,0.0009327051160730182
