,R^2
0,0.012621018905455639
1,0.01219511121883099
2,0.009826968455444618
3,0.0103475422024365
4,0.0059833019743052995
5,0.0075044221669278155
6,0.011352406895364098
7,0.008317344537802973
8,0.019154650626973524
9,0.009081106404501105
10,0.010929435439391733
11,0.009997444873596772
12,0.013881384667389085
13,0.007674337216556859
14,0.005552402171917548
15,0.013002413972838966
16,0.006974246550381258
17,0.015442680310646217
18,0.01286185762865022
19,0.010742368258543578
20,0.011490792093263424
21,0.01424766563434332
22,0.010674065370820385
23,0.01149472916026928
24,0.008829883909242109
25,0.012435633405833424
26,0.01194420634648119
27,0.012508957601168658
28,0.008125868322223173
29,0.009331290918017765
