,R^2
0,0.009311101789333143
1,0.011331718090912046
2,0.021423429434232144
3,0.009847166400140939
4,0.009676414553329682
5,0.020704585379591967
6,0.015605372097962977
7,0.010350370529178532
8,0.024938033380073055
9,0.012122516239771675
10,0.018175716799184283
11,0.012071611441547003
12,0.016941476870551142
13,0.021432334895658434
14,0.016576436358207047
15,0.015643607434270512
16,0.01520599748746021
17,0.011993691126595873
18,0.01681216668650376
19,0.0224843728647226
20,0.007521111069622499
21,0.008889632139842396
22,0.01842347832389135
23,0.009849572239851945
24,0.017761832845682335
25,0.014301538361007005
26,0.02004848079852206
27,0.014218057285979802
28,0.019362924039969087
29,0.011914668504718229
