,R^2
0,0.0039267384129735294
1,0.001328414072457429
2,0.003061731222798292
3,0.001313602751461529
4,0.003881819989750457
5,0.001979412909415612
6,0.0010310388727277076
7,0.0018142667381424449
8,0.0016043028362837664
9,0.004261277818054077
10,0.002026183581361196
11,0.001750266482312579
12,0.004072284980411123
13,0.0010607584177215745
14,0.003026261876690084
15,0.002822992860496143
16,0.0006039090137477388
17,0.004976388040533353
18,0.0008856950699386301
19,0.004922957122761806
20,0.0034589741430746113
21,0.0005866824169162843
22,0.001286134699257202
23,0.001887806263798475
24,0.0053668461475004925
25,0.0007332867144707045
26,0.00046452046561418214
27,0.0017567910511862017
28,0.00034279335100007025
29,0.0028670731703379637
