,R^2
0,0.0017593886641711354
1,0.000606309052398335
2,0.010593849491609797
3,0.006001381237992098
4,0.005914298968837883
5,0.009896805990682656
6,0.012881433949901377
7,0.00021160525804342356
8,0.008442315037883064
9,0.004831448410201555
10,0.0130008455249776
11,0.009543817126739684
12,0.01087095442455499
13,0.007092678982225764
14,0.008774686961674383
15,0.006632349279627414
16,0.005058240561233385
17,0.00975670344210866
18,0.006709754289582426
19,0.008004207967244659
20,0.0075767148766487935
21,0.019254192309425155
22,0.013385443986127066
23,0.008527011973977427
24,0.0034181929854835147
25,0.010205531345880203
26,0.010509806522859488
27,0.004914466096785142
28,0.008734388056985454
29,0.0138030577377799
