,R^2
0,0.005404869101949261
1,0.004116640710902897
2,0.005078041540904854
3,0.003605902971128394
4,0.005218234436790259
5,0.004097971132559941
6,0.004619925238059319
7,0.00427068009535847
8,0.004554263642191914
9,0.004591332241569157
10,0.005622910412640403
11,0.005502570172824073
12,0.005270372990498484
13,0.005244946198023848
14,0.005214269652730197
15,0.005633765799998081
16,0.005341071548704113
17,0.004416090876293688
18,0.0046541065853654695
19,0.0034180055425986344
20,0.005374620577856759
21,0.005810460427851494
22,0.0049704305881906885
23,0.005692977606381544
24,0.004563453570199272
25,0.0060977090955450786
26,0.004108922597069076
27,0.005268973861235704
28,0.005147327226707521
29,0.0037162755657684787
