,R^2
0,0.0785490839414158
1,0.07297267025172594
2,0.08358830697915376
3,0.07634165006226434
4,0.07837453714226894
5,0.04894797116040395
6,0.06288001624149553
7,0.08545177585702712
8,0.08179554965284708
9,0.06616565313822653
10,0.10534947206655376
11,0.06343401579138774
12,0.08026506411307077
13,0.08937149980603398
14,0.08312699467230955
15,0.07718142370026027
16,0.05235304940252039
17,0.07683243353844094
18,0.051422101924307406
19,0.07999751017258883
20,0.06489632430672221
21,0.09665837182384884
22,0.1016317589311252
23,0.05305638267257551
24,0.05930945927982989
25,0.07959558543480405
26,0.07706304499296779
27,0.08365883953315079
28,0.07290282809769244
29,0.07827918528524369
