,R^2
0,0.011737175669650046
1,0.01017480870076648
2,0.011155141586884354
3,0.011822342536027652
4,0.013010929390768977
5,0.004183943994032657
6,0.007417489682185252
7,0.010215619837578682
8,0.011411942987656243
9,0.010421803707006405
10,0.01850715469895059
11,0.01441574183080463
12,0.01572298823423246
13,0.009609428188077418
14,0.003525605128890108
15,0.006762393257165766
16,0.008379602245937812
17,0.006846958751290044
18,0.009537784054686416
19,0.0189783294490955
20,0.005903660560924839
21,0.010061266142437963
22,0.00980325175321295
23,0.006703837800465795
24,0.006663489179444593
25,0.00941094346983784
26,0.012673398047231998
27,0.005401226698801609
28,0.013541366749431738
29,0.009837652075827208
