,R^2
0,0.15812191656614727
1,0.12398381532542346
2,0.13822555698343886
3,0.1418451431160318
4,0.11941127029683696
5,0.1365076937016808
6,0.15116826518043613
7,0.12778736591152862
8,0.15015034857473164
9,0.18960538370559943
10,0.14118652125192377
11,0.14268832289775923
12,0.14455132298616424
13,0.15502475060169696
14,0.17705573119133267
15,0.18087227504126224
16,0.1618058705689117
17,0.13304533914187167
18,0.16788079076060602
19,0.1516957315909483
20,0.14079497744448
21,0.1583588631483418
22,0.13945400718889212
23,0.17029477897498146
24,0.12567927925544675
25,0.14467312931445575
26,0.1524990220453798
27,0.1457216117501875
28,0.1322865279769666
29,0.15259156640010374
