,R^2
0,0.004402600556374869
1,0.004123289648894635
2,0.004021904035008905
3,0.003609593206888695
4,0.004477741727028639
5,0.004837902386447435
6,0.003752561342863614
7,0.004211444603873238
8,0.003928447859189221
9,0.0032574039178068226
10,0.00348291382893684
11,0.004311260740464173
12,0.003937341403882244
13,0.003863371978211516
14,0.004474975461579267
15,0.004372497342108428
16,0.004583374260641593
17,0.002727849372135216
18,0.003453798087280191
19,0.003706701092763276
20,0.004178722590719497
21,0.0032660672225579557
22,0.0036253077595580496
23,0.0036530499178168974
24,0.003839797965753955
25,0.004439739441583712
26,0.0038558636821852676
27,0.0035439876924359126
28,0.0040210916915445205
29,0.004487105252298229
