,R^2
0,0.0068062248837428285
1,0.012186141584555554
2,0.0075616664783015874
3,0.008157513222015633
4,0.009513595929147245
5,0.004831168006773301
6,0.0087820072889494
7,0.00773421228523552
8,0.008238831322442852
9,0.006013181540061696
10,0.006214566725366355
11,0.0093465561276187
12,0.0068910322935440416
13,0.005948707955213073
14,0.006587362269162789
15,0.005254522557468833
16,0.009556760027473854
17,0.006798222510720375
18,0.007579882368217383
19,0.003904488927837013
20,0.008804864440784543
21,0.0047880498031035446
22,0.00583147735541556
23,0.012177290409996822
24,0.003616876290549853
25,0.0027904488720564835
26,0.008562235611451752
27,0.003814814861811122
28,0.0018171654886789401
29,0.004607127987880544
