,R^2
0,0.00013541382274517844
1,0.00025444939806318345
2,-0.00017508151319556298
3,2.8758126912720172e-05
4,0.00019746088546401808
5,-2.0700260021877526e-05
6,7.505774782301522e-05
7,0.00021325153188334056
8,0.00030495348871029115
9,8.306655137269026e-05
10,9.541226092957267e-05
11,0.00014328747450220725
12,0.00034590008275614537
13,0.00030766161141104753
14,0.00022858982818696472
15,1.1372389822961182e-05
16,9.641371391344578e-05
17,0.0004452642228252035
18,0.00025087645398769176
19,1.2379909702930902e-05
20,0.0001972709626495428
21,0.00017206035230088457
22,0.0002901611025684092
23,-8.638462483923082e-05
24,0.0002520106176766568
25,0.00010813170469736733
26,9.00816604783028e-05
27,2.435772595732466e-05
28,0.00030427762226004074
29,-7.739796181172043e-05
