,R^2
0,-0.0007290272595565916
1,0.000532454926871373
2,0.002549662117309226
3,0.0007732086580619635
4,0.00029717801889106443
5,-0.0006623913137955295
6,0.0006364939624338151
7,0.0012106268084953742
8,0.0013301092878456044
9,3.0952604916922866e-06
10,0.0007866804908226444
11,0.0016092608836520972
12,0.0030919859394678006
13,0.00029489255713799345
14,0.0016157051587089022
15,0.0007232080992422008
16,-0.0005129103836979398
17,-0.0012719148560702553
18,-0.0018839336441112131
19,0.001163858635624071
20,0.0015892305395891482
21,0.0003759903346355342
22,0.0017838557169134184
23,-0.0001998642735125955
24,0.003065840362418082
25,-0.0011107793291786905
26,-0.0001126863899156838
27,-0.0003651400320269227
28,9.780426341399195e-05
29,0.0015427238744455396
