,R^2
0,-0.000406798421967669
1,0.006291417952157152
2,-0.0019362903214656946
3,-0.005813702502337814
4,0.001900584375744252
5,0.0023442712900717533
6,0.004613074277585172
7,0.001170701323249701
8,-0.0001475564256621098
9,0.004896814124401128
10,0.003163013613469934
11,-0.0005289843202367361
12,0.0036888910348550352
13,0.0024860611995909387
14,-0.0025991000170864087
15,0.0011440109250845376
16,0.003958059459629015
17,0.004680089211380967
18,-0.002800355379283359
19,0.00280041321867619
20,-0.0012359015755178948
21,0.00048387031255192614
22,-0.0014373131489952007
23,-0.0003487327467945889
24,-0.001838661938917352
25,0.001338651968089466
26,0.0028243865707191507
27,-0.0006969110050099037
28,-4.2945114177239674e-05
29,0.0001678443506291094
