,R^2
0,0.005259916189904068
1,0.00453928415196081
2,0.004942045659900418
3,0.0043081983771934285
4,0.004493344771761443
5,0.0036600840480188745
6,0.00478505709314947
7,0.0053156136745784455
8,0.004307012112517272
9,0.0048284810429048974
10,0.0042568102181906875
11,0.004279794076764487
12,0.005483345125399275
13,0.005453582283048375
14,0.005358982350007313
15,0.00472301162941291
16,0.004234335526851929
17,0.005222109425039756
18,0.004969822414804925
19,0.006435369349179876
20,0.005877745568145687
21,0.005266804096396016
22,0.005655686722678244
23,0.0047138812197631275
24,0.00460749948911221
25,0.004549867107950023
26,0.005056437758422128
27,0.0046185848946802555
28,0.005111764438246791
29,0.004638708187774343
