,R^2
0,0.017381081189115744
1,0.007585076214722486
2,0.01312869262607741
3,0.010006278016367443
4,0.01129991409824549
5,0.013220419815912265
6,0.013840686186902151
7,0.01182753817157367
8,0.016939170118529967
9,0.007173730615983143
10,0.009413837666884306
11,0.008926052281223895
12,0.013339550474384176
13,0.014435044879252623
14,0.014755832035735161
15,0.00814574794817513
16,0.014391246326786677
17,0.012407473958325643
18,0.005362260709576017
19,0.013417323267452597
20,0.01200339286065999
21,0.009452063489434726
22,0.009284540896802085
23,0.012240161315070552
24,0.011501770438099523
25,0.011539558017570894
26,0.0069271367327985445
27,0.00937746418016494
28,0.015233867744761098
29,0.010561396905083842
