,R^2
0,0.011031940065060253
1,0.005851515805633589
2,0.015793321139929928
3,0.009039281682601374
4,0.008663549733788467
5,0.015632103173713996
6,0.006028866664491983
7,0.00879925760921596
8,0.012896375835546148
9,0.006156875941101814
10,0.0036380249762074657
11,0.01264318722153901
12,0.009249038092770112
13,0.0072060344971518475
14,0.008691160646214335
15,0.007676128077100719
16,0.015617539602333808
17,0.007400647176972752
18,0.004608238631876871
19,0.005071786810590395
20,0.017990379798461076
21,0.00554258729851409
22,0.003986826881677397
23,0.020788620618863884
24,0.007740538572674649
25,0.010860851366058744
26,0.016591552616456284
27,0.012686559302397926
28,0.016487745560728295
29,0.013165242989731207
