,R^2
0,0.0009687185619181582
1,0.00332263957299872
2,-0.0011574027732607073
3,0.0003356057114590749
4,0.0030593289823948044
5,-0.0028144175967937946
6,0.002906873479582628
7,0.004835435308729874
8,0.005371429558126972
9,0.009401352783900085
10,0.0045181335236395
11,0.0054963034568675795
12,0.005594490038636213
13,0.0009498262577087857
14,0.0037196485768870025
15,0.008232865999781236
16,0.006414946165223756
17,0.004091954815513832
18,0.0037673263782037614
19,0.0026401554549858597
20,0.0025119256764800646
21,0.0034615944350913086
22,0.0054542815792095745
23,-0.0022063366446934962
24,0.004756964873611547
25,0.008287625172112345
26,0.005922985487984533
27,0.006966337432733449
28,0.0075671032501088975
29,0.003925183455096182
