,R^2
0,-0.004098833562098614
1,-0.003320889981452191
2,-0.0009895116174440943
3,-0.009799071172462925
4,0.004550859597811541
5,0.0002573724864891602
6,-0.0037037319845133476
7,-0.007248492164004694
8,0.00020017533077720806
9,0.00013357959024662414
10,0.003694871809190703
11,-0.0010694056377529293
12,-0.0029189391450098467
13,-0.005453129113512034
14,0.010724969955151709
15,-0.0018512940661625787
16,-0.0023443514926649867
17,0.002446576901461106
18,-0.002578227476031092
19,-0.004964095431749249
20,-0.0001965930461524934
21,0.008481592912800706
22,0.0008376276495603019
23,0.0005194074126172454
24,0.004209698047427879
25,0.0045523111728467125
26,0.00832216787450557
27,0.005065216044259135
28,0.0015641185859656126
29,0.004719522213470384
