,R^2
0,0.01567261776497242
1,0.028335636347750714
2,0.021805089314069992
3,0.025526936277004086
4,0.025481372899267996
5,0.02384062756469807
6,0.023009706659798956
7,0.022736863316256795
8,0.022598462228910265
9,0.02414631659600741
10,0.017620140717809596
11,0.02312341095300874
12,0.028893875522820966
13,0.02077540955004087
14,0.031047239199993637
15,0.02597411851686038
16,0.024116258633751997
17,0.02011834984899763
18,0.014066414411155193
19,0.025165415327137453
20,0.03386911336507081
21,0.027327076988727605
22,0.02951127781699192
23,0.02684501122195826
24,0.027107475432199046
25,0.01484086615926461
26,0.020422213588827898
27,0.02886239930126866
28,0.0207910330965686
29,0.028078240208353922
