,R^2
0,0.00955705640722615
1,0.010541297243211623
2,0.010210051282252386
3,0.00879337980378736
4,0.00971037027389432
5,0.009528456655898632
6,0.007704247378189311
7,0.005609428161893137
8,0.010150426750746067
9,0.01249105345614221
10,0.009955631219745187
11,0.008014656369746742
12,0.009935935490328784
13,0.012589110384235713
14,0.012118250761505411
15,0.011841789614494891
16,0.006195072103937105
17,0.013084486161485831
18,0.006570750626993305
19,0.008577066589192772
20,0.008439970687070253
21,0.009849105315286377
22,0.010204625531895939
23,0.0038891485701941786
24,0.013328575342668847
25,0.00850223519003701
26,0.00968060329030096
27,0.007119935130781574
28,0.006802482807250265
29,0.006137192239254685
