,R^2
0,0.01347974087788173
1,0.008924205331377832
2,0.017997818577526248
3,0.00894359530673905
4,0.00925192671535413
5,0.008591299228559945
6,0.008496385168963339
7,0.020296329108041133
8,0.014126652942307638
9,0.003928344972368603
10,0.015482752460148519
11,0.015723505323398723
12,0.010995249803297469
13,0.006940783765332803
14,0.006057422735740836
15,0.011561992508778318
16,0.01855227289687833
17,0.008969532674463765
18,0.010571664098751543
19,0.016210327359929
20,0.012245963672154803
21,0.016676202043955257
22,0.0071061736652265894
23,0.014406870544071748
24,0.011655856505554896
25,0.014350367651875362
26,0.009705189502505651
27,0.019661798287442522
28,0.009120412009646528
29,0.006354169878107996
