,R^2
0,0.01919926538209893
1,0.014742502587785866
2,0.008144895250926543
3,0.01037738716375003
4,0.014670785419197307
5,0.012961322462963554
6,0.012790159947134727
7,0.011792910086031339
8,0.010372973127575014
9,0.017231934205551802
10,0.007792121903960614
11,0.011008868486802714
12,0.00743933559837362
13,0.01160310553207966
14,0.019862598289442923
15,0.02120265878026939
16,0.013138287890351541
17,0.012872416398635123
18,0.003830303711920835
19,0.015812612845863883
20,0.015835214203741454
21,0.011387710743160251
22,0.006898547202693006
23,0.013945705400940311
24,0.017962704707866983
25,0.023569710432794988
26,0.01994713305520901
27,0.007336978933559113
28,0.009454883685739768
29,0.01629084506876899
