,R^2
0,0.0012559944031274028
1,0.0007527789152191877
2,0.0019432639741105984
3,0.0015700228243245018
4,0.0010623961231089885
5,0.001351967405988419
6,0.0012679950503287074
7,0.0011706374078168658
8,0.0010428083748879047
9,0.001730549909442547
10,0.001085769044274043
11,0.00022382468260351285
12,0.001962054630580301
13,0.0016273461060933858
14,0.0007692100397654889
15,0.0010271600323756847
16,0.0016235866814174882
17,0.001205107122025928
18,0.0014681975038932649
19,0.0019891929481447024
20,0.001209254523388048
21,0.0016245713727620625
22,0.0011930766201055931
23,0.0011485979309829863
24,0.001926528124483795
25,0.001996734805500333
26,0.0001392189718321113
27,0.0015141411108331448
28,0.0012521927343814854
29,0.0016379238774667515
