,R^2
0,0.004662027775617972
1,0.005400972597063958
2,0.00532440684114821
3,0.0056706840889158006
4,0.0016704243758269843
5,0.0035321349910613087
6,0.0053386025464974285
7,0.0013410517970040559
8,0.005084188977111159
9,0.008443068960024114
10,0.006186554032929115
11,0.0031559648086445513
12,0.007651633500085131
13,0.0034180234214027383
14,0.006385969827336302
15,0.007254368034085967
16,0.0060568380563742474
17,0.006723470917717078
18,0.008875151970129558
19,0.005863205845944353
20,0.005685504573667899
21,0.004487372166867343
22,0.00287714737240663
23,0.007511052956682418
24,0.008132948196116985
25,0.006331874714769814
26,0.0035108429175640943
27,0.007760159596331251
28,0.003960722512857173
29,0.008952455594254838
