,R^2
0,0.004659879744829731
1,0.015579257686958892
2,0.012181120243961674
3,-0.0018552091727888076
4,-0.0005928447332387288
5,0.01610102514558187
6,0.019488011904465585
7,0.013945427478107897
8,0.020289285430950654
9,0.0016196270319819295
10,0.021369193948242993
11,0.011678004782650797
12,0.024586289417547924
13,0.008850908386378586
14,0.004641539714314136
15,0.008644486900430737
16,0.020766260209694742
17,0.020926684606206725
18,0.013313800929828479
19,0.008030034488752946
20,0.00134163325377179
21,0.014109390981613124
22,0.008479058468622624
23,0.017599967899614932
24,0.01696089464417927
25,0.0004921160780897438
26,0.006780725680312627
27,0.0027960606811905375
28,0.014869469415600078
29,0.017100895058906995
