,R^2
0,0.012946499629521546
1,0.00808256324641643
2,0.00980610889581035
3,0.013950274873490764
4,0.010198832145205228
5,0.008151775791930937
6,0.012295844118374588
7,0.01415871310413741
8,0.008988942868722205
9,0.00951586864919618
10,0.010006428233788722
11,0.008914721592821806
12,0.00820857475768022
13,0.013831814544343679
14,0.011045038517054295
15,0.009815703914330287
16,0.010651693223241443
17,0.007363909719001804
18,0.00651150859159666
19,0.012644143173884181
20,0.01183282567814159
21,0.01147606499899334
22,0.01177397609515285
23,0.009417805689429293
24,0.007174916870185344
25,0.01432105758900315
26,0.008660795478134475
27,0.007945677143281427
28,0.009677984621606961
29,0.009406251402833687
