,R^2
0,0.01329565415347389
1,0.009453225238758245
2,0.006501669296689827
3,0.01235088925908101
4,0.008833127862078127
5,0.013121840247908523
6,0.012789788550149228
7,0.008187164712283979
8,0.0017359092320432534
9,0.011082075440440708
10,0.0004083624187927182
11,0.006786158615093352
12,0.008247588723417798
13,0.0067237772923427475
14,0.00882449803651153
15,0.011070305726016416
16,0.0030721576553783825
17,0.002332695959616937
18,0.010120920529732125
19,0.004607652516279703
20,0.006734282621693288
21,0.002652313728647049
22,0.010087312504879375
23,0.00991365048163928
24,0.01099824562657703
25,0.013979796651522602
26,0.015305298908936948
27,0.010099187401995446
28,0.001077903400998892
29,0.0042812660567030925
