,R^2
0,4.286833517472385
1,4.012777986321333
2,4.248941444234272
3,3.957756282650785
4,4.138327200452935
5,3.869551133625183
6,4.261532829916878
7,3.9517513313224835
8,4.061044172014226
9,4.051401150248042
10,4.148875369889406
11,4.198480318880664
12,4.264302780624147
13,4.128136640264248
14,4.008033572458239
15,3.9434989216376937
16,3.770745980401617
17,4.128578792478411
18,4.167626259493584
19,4.0981379102069875
20,4.199520784653796
21,4.1342725653883585
22,4.4033634485015005
23,4.066365876672478
24,3.8900839510191108
25,3.776775713026973
26,3.9858145742855204
27,3.986203667124123
28,3.8968876453215633
29,3.897185382883753
