,R^2
0,0.01244822483510133
1,0.011897465001058372
2,0.00865929711374569
3,0.013327780254363764
4,0.012024818093554934
5,0.00942753307174482
6,0.010516185402321687
7,0.007156498871287553
8,0.011932300286775388
9,0.010647551801600375
10,0.009623624766836869
11,0.009756022998780423
12,0.010485560253746584
13,0.0083962617407225
14,0.012383688741626875
15,0.014128580866458185
16,0.010604951363825443
17,0.01354495214596707
18,0.010183988102439145
19,0.013198058041940741
20,0.009677817164081781
21,0.009887943798215337
22,0.012810581551992772
23,0.012480186826227757
24,0.0073588534943008765
25,0.014222431606821462
26,0.012230730797036404
27,0.009252248564171506
28,0.009762541095483357
29,0.013220069312413596
