,R^2
0,0.00708290111436527
1,0.006090834701611536
2,0.006182615220978516
3,0.006153247499396386
4,0.005891435496283459
5,0.0061010673665171655
6,0.006492321594531503
7,0.008310040135599772
8,0.007808507442700785
9,0.009036185824778498
10,0.00569681287545587
11,0.007692078053563867
12,0.005352541663651067
13,0.006713116666655861
14,0.007168248257695575
15,0.00715958307065101
16,0.00833480412518195
17,0.00486672983427705
18,0.0061382048370058895
19,0.006965016580535832
20,0.0071438854266795415
21,0.00711245525580928
22,0.005783880345935355
23,0.004654732097143288
24,0.0063603440452366655
25,0.00833060204357583
26,0.007124882644205854
27,0.008437123420637072
28,0.008699472688207588
29,0.008174779033563562
