,R^2
0,0.005312855920715398
1,0.005871006328513562
2,0.0021794110693701407
3,0.004852882412200055
4,0.0037325409419471933
5,-0.0006044239713542954
6,0.006368849490398287
7,0.004264776501480938
8,0.0032716124421322546
9,0.003340329604731629
10,0.00927042543722556
11,0.000947799750669831
12,0.005377320910841976
13,0.0033287511842647888
14,0.005082422019842658
15,0.0006225844321500196
16,-0.00114490325271277
17,0.006792035331566582
18,0.005868619470893344
19,0.005698363344142643
20,0.005815666279891163
21,0.0038777499547705263
22,0.0056210712105206895
23,0.004287417605475685
24,0.0022762852138196177
25,0.0027922610772231904
26,0.005255741642492762
27,0.0001715487936195803
28,0.000652166929029363
29,-0.0006136627047538257
