,R^2
0,0.008678300208571188
1,0.0029178716400229954
2,0.011898151658878975
3,0.009726094765059923
4,0.011201755724604134
5,0.01278325817354753
6,0.014292067838797773
7,0.01086147952584271
8,0.00411340157249418
9,0.009821286550798947
10,0.012461607479419379
11,0.011137416829626323
12,0.00541340721536876
13,0.009245705748468835
14,0.012278589029597442
15,0.012200657195134523
16,0.00964416494196274
17,0.008914629190980072
18,0.011369653547616099
19,0.008293833343680834
20,0.008570832926041438
21,0.014340857414171904
22,0.009892829318248753
23,0.008465718417811297
24,0.009049943434516816
25,0.009665614480795504
26,0.009816758682089533
27,0.008411001085252279
28,0.012242157282857047
29,0.011004504210400223
