,R^2
0,0.01916265486427915
1,0.007617237911152208
2,0.017268105405277345
3,0.013459564528673251
4,0.013368664107289652
5,0.017117472956384217
6,0.011129418479277842
7,0.013424931367294168
8,0.01683532366864071
9,0.012771137173030134
10,0.020234574155241325
11,0.017157718709703285
12,0.01850312568191803
13,0.015944845346158476
14,0.011652583468247824
15,0.01286640723158039
16,0.01826947442781257
17,0.017463277433263258
18,0.019973019936357805
19,0.02176138216086909
20,0.010640252154856755
21,0.0097267015848721
22,0.015195670174005138
23,0.013328755507704626
24,0.017915172578949368
25,0.023837634132505614
26,0.006558162735948003
27,0.01874838006914703
28,0.020713724577338888
29,0.010892284922173534
