,R^2
0,0.0009955377459922587
1,-8.849457893256307e-06
2,-1.540329750826519e-05
3,0.00024769770880395114
4,-0.0003371587290742495
5,-0.0013083690798644243
6,0.0007374733675248324
7,0.0006471416258452267
8,0.001571240251799888
9,-0.000747356680492639
10,0.0005691809754070354
11,0.001636690107330474
12,0.00034895499148013265
13,9.82844083435852e-05
14,-4.26288881026915e-05
15,0.0007916479031574442
16,0.0011285852886930847
17,-0.001311075136699924
18,0.0012271049868183281
19,0.0005216756835545455
20,0.00011002178298213927
21,0.00043715824485468513
22,4.242439257862163e-05
23,0.00019432410010256085
24,0.0009906728336205317
25,1.0593308958806169e-05
26,0.0008132831378108163
27,0.000928746384533663
28,0.0010311999804375471
29,0.002056139691193115
