,R^2
0,0.017871895014477834
1,0.014593739245762682
2,0.019528899491072393
3,0.015885078828073662
4,0.01417719696643116
5,0.01426001870418725
6,0.011638346285538281
7,0.011195387112965416
8,0.010697923152071187
9,0.017293622081995252
10,0.019346614990221278
11,0.016239662216973483
12,0.012782873356139257
13,0.015366393171447057
14,0.013202051939523729
15,0.014213026758565506
16,0.015534459763268837
17,0.01620114582906651
18,0.009195556747641165
19,0.019048936031888064
20,0.01270113601540801
21,0.022147446708240204
22,0.01854318176009706
23,0.020277237196895004
24,0.01879656391322182
25,0.014485273105441121
26,0.011606310589072688
27,0.015585698630610323
28,0.011478368230889768
29,0.01589300887713152
