,R^2
0,0.04357116929822524
1,0.052344655288098396
2,0.05600756263544704
3,0.04124344795060342
4,0.05424981994547218
5,0.0552482625010825
6,0.05067764556576715
7,0.037564700929200945
8,0.04387370921090339
9,0.05761702130450885
10,0.07395710856285409
11,0.059644991684128845
12,0.061662009915651295
13,0.05903176250475328
14,0.05122165097620035
15,0.04783062856058562
16,0.0457059936527765
17,0.03438011401578789
18,0.039601916698347006
19,0.02846279882202707
20,0.052189440952090105
21,0.04656464759679446
22,0.036524195007000104
23,0.054182207857956355
24,0.032050323341931364
25,0.04607960230609365
26,0.04774635885612244
27,0.05428824073343652
28,0.04414647884730882
29,0.04792151703711922
