,R^2
0,0.005729501769738521
1,0.005668848349899447
2,0.003564159935617095
3,0.0032897017839723652
4,0.00797972938274416
5,0.004740398481903441
6,0.006933276884678485
7,0.003706376217579299
8,0.005556233162223867
9,0.0076101034647303445
10,0.004133834928196745
11,0.0031768040745656645
12,0.002662366062802901
13,0.011312303310261562
14,0.004096734829803328
15,0.00856537649648803
16,0.0045315624096519125
17,0.004349495707127837
18,0.0048936294246260115
19,0.0030990158380059807
20,0.004671528360772004
21,0.004744966430361042
22,0.006707315575221973
23,0.0017994484676751021
24,0.0057488920114021624
25,0.0008239616951432049
26,0.00378603706210634
27,6.685611445944595e-05
28,0.006323965772611295
29,0.005676067531822149
