,R^2
0,0.0055488811320068
1,0.004631809433847889
2,0.0055704852701902174
3,0.0036428953446018264
4,0.003907755495038967
5,0.004120191632270398
6,0.006285734883155092
7,0.00518943826814855
8,0.005509133806230304
9,0.00537371346386295
10,0.005447969227526439
11,0.004478742516610179
12,0.005010702755127383
13,0.005515538577136381
14,0.005242279160471486
15,0.003873705822396545
16,0.005250331986479284
17,0.004581944615877465
18,0.0038102551361377524
19,0.00457427666878496
20,0.005102217158697631
21,0.004888052018149236
22,0.005731710033031745
23,0.003906417465946999
24,0.004112905577900228
25,0.004974706796395889
26,0.004933617410406099
27,0.006520620155948009
28,0.004543167591163133
29,0.004174385669244329
