,R^2
0,0.005323573984753804
1,0.005507908699868058
2,0.00632721624963084
3,0.0043229790487596675
4,0.006164294962636152
5,0.004448059416435668
6,0.004849158900158801
7,0.00629855346177699
8,0.004511787177989057
9,0.004833906118582143
10,0.005402613191368366
11,0.006391269248522069
12,0.005471465051101743
13,0.004879814114611025
14,0.005886348075647696
15,0.005581903545264555
16,0.0068725187877999305
17,0.006627384829288041
18,0.004836717217054032
19,0.005652675555619213
20,0.005531687286338682
21,0.00605840601490415
22,0.005477009082354489
23,0.005689255462068665
24,0.006480668824393354
25,0.005234082890265612
26,0.005577091857058236
27,0.005854637381880301
28,0.00459253885344979
29,0.005287446690062758
