,R^2
0,0.014367274800512808
1,0.029691570827217628
2,0.014498086334309157
3,0.012648830967699198
4,0.02106120969425407
5,0.013427341361571088
6,0.012144311498899274
7,0.02313702500123782
8,0.01459152381914508
9,0.013010358028436864
10,0.01706980911385303
11,0.019963413941246566
12,0.024604942157023246
13,0.020054513065109525
14,0.018765939600356663
15,0.018751295212250607
16,0.022499491172861652
17,0.015295938892218586
18,0.02519307096950496
19,0.018507304827934612
20,0.01817665215931985
21,0.012944726404196638
22,0.01788851043599604
23,0.01780262259480636
24,0.025762998212548127
25,0.021273643478276427
26,0.016456008049365423
27,0.022308515302928544
28,0.018036541170396547
29,0.01847539767262385
