,R^2
0,0.0031681476151161903
1,0.012990966854485642
2,0.0058674870634172205
3,0.006598030488577766
4,0.0038622825698403362
5,0.0016538667780210403
6,0.00458875826114824
7,0.00763938623530247
8,0.00842952493493554
9,-0.0007264818372705317
10,0.008970514335326918
11,0.010333766608487172
12,0.008142352272207276
13,0.006856680645589641
14,0.01055487581474801
15,0.006591543538725153
16,0.013902917783239266
17,0.0077681744242494855
18,0.0025812854176795463
19,0.0076805050232117145
20,0.007073741913978582
21,0.005895105073227325
22,0.0063374944324881
23,0.004891238111250584
24,0.0031522221556974372
25,0.008310099062603493
26,0.004590034554469047
27,0.004009177331829927
28,0.008985489809523073
29,0.0026628602282560143
